,Year NA,Rep NA,Site ,Date ,Microsite ,ID.notes NA,species,abun
2382,2023,10,Yucca,2023-04-17,shrub,NA,Bromus.rubens,21
2385,2023,10,Yucca,2023-04-17,open,NA,Bromus.rubens,16
2389,2023,11,Yucca,2023-04-17,shrub,NA,Bromus.rubens,5
2394,2023,12,Yucca,2023-04-17,shrub,NA,Bromus.rubens,2
2395,2023,12,Yucca,2023-04-17,open,NA,Bromus.rubens,4
2398,2023,13,Yucca,2023-04-17,shrub,NA,Bromus.rubens,2
2406,2023,13,Yucca,2023-04-17,open,NA,Bromus.rubens,2
2410,2023,14,Yucca,2023-04-17,shrub,NA,Bromus.rubens,9
2412,2023,14,Yucca,2023-04-17,open,NA,Bromus.rubens,2
2416,2023,15,Yucca,2023-04-17,shrub,NA,Bromus.rubens,8
2417,2023,15,Yucca,2023-04-17,open,NA,Bromus.rubens,1
2420,2023,16,Yucca,2023-04-17,shrub,NA,Bromus.rubens,9
2422,2023,16,Yucca,2023-04-17,open,NA,Bromus.rubens,1
2425,2023,17,Yucca,2023-04-17,shrub,NA,Bromus.rubens,19
2428,2023,18,Yucca,2023-04-17,shrub,NA,Bromus.rubens,5
2433,2023,19,Yucca,2023-04-17,shrub,NA,Bromus.rubens,6
2437,2023,20,Yucca,2023-04-17,shrub,NA,Bromus.rubens,12
2441,2023,22,Yucca,2023-04-17,shrub,NA,Bromus.rubens,28
2446,2023,23,Yucca,2023-04-17,shrub,NA,Bromus.rubens,72
2451,2023,24,Yucca,2023-04-17,shrub,NA,Bromus.rubens,20
2455,2023,25,Yucca,2023-04-17,shrub,NA,Bromus.rubens,3
2456,2023,25,Yucca,2023-04-17,open,NA,Bromus.rubens,2
2461,2023,26,Yucca,2023-04-17,shrub,NA,Bromus.rubens,45
2464,2023,27,Yucca,2023-04-17,shrub,NA,Bromus.rubens,1
2468,2023,27,Yucca,2023-04-17,open,NA,Bromus.rubens,5
2472,2023,28,Yucca,2023-04-17,shrub,NA,Bromus.rubens,3
2474,2023,29,Yucca,2023-04-17,shrub,NA,Bromus.rubens,39
2478,2023,30,Yucca,2023-04-17,shrub,NA,Bromus.rubens,14
2481,2024,1,Yucca,2024-04-21,shrub,NA,Bromus.rubens,45
2484,2024,1,Yucca,2024-04-21,open,NA,Bromus.rubens,64
2485,2024,2,Yucca,2024-04-21,shrub,NA,Bromus.rubens,122
2487,2024,2,Yucca,2024-04-21,open,NA,Bromus.rubens,25
2491,2024,3,Yucca,2024-04-21,shrub,NA,Bromus.rubens,51
2494,2024,3,Yucca,2024-04-21,open,NA,Bromus.rubens,24
2497,2024,4,Yucca,2024-04-21,shrub,NA,Bromus.rubens,53
2503,2024,4,Yucca,2024-04-21,open,NA,Bromus.rubens,7
2507,2024,5,Yucca,2024-04-21,shrub,NA,Bromus.rubens,17
2509,2024,5,Yucca,2024-04-21,open,NA,Bromus.rubens,1
2512,2024,6,Yucca,2024-04-21,shrub,NA,Bromus.rubens,66
2518,2024,6,Yucca,2024-04-21,open,NA,Bromus.rubens,26
2520,2024,7,Yucca,2024-04-21,shrub,NA,Bromus.rubens,33
2523,2024,7,Yucca,2024-04-21,open,NA,Bromus.rubens,4
2526,2024,8,Yucca,2024-04-21,shrub,NA,Bromus.rubens,43
2532,2024,9,Yucca,2024-04-21,shrub,NA,Bromus.rubens,74
2535,2024,9,Yucca,2024-04-21,open,NA,Bromus.rubens,44
2538,2024,10,Yucca,2024-04-21,shrub,NA,Bromus.rubens,46
2545,2024,10,Yucca,2024-04-21,open,NA,Bromus.rubens,17
2548,2024,11,Yucca,2024-04-21,shrub,NA,Bromus.rubens,40
2551,2024,11,Yucca,2024-04-21,open,NA,Bromus.rubens,2
2556,2024,12,Yucca,2024-04-21,shrub,NA,Bromus.rubens,10
2559,2024,12,Yucca,2024-04-21,open,NA,Bromus.rubens,13
2564,2024,13,Yucca,2024-04-21,shrub,NA,Bromus.rubens,21
2568,2024,13,Yucca,2024-04-21,open,NA,Bromus.rubens,2
2573,2024,14,Yucca,2024-04-21,shrub,NA,Bromus.rubens,11
2576,2024,14,Yucca,2024-04-21,open,NA,Bromus.rubens,4
2578,2024,15,Yucca,2024-04-21,shrub,NA,Bromus.rubens,30
2580,2024,15,Yucca,2024-04-21,open,NA,Bromus.rubens,54
2582,2024,16,Yucca,2024-04-21,shrub,NA,Bromus.rubens,58
2584,2024,16,Yucca,2024-04-21,open,NA,Bromus.rubens,28
2588,2024,17,Yucca,2024-04-21,shrub,NA,Bromus.rubens,2
2591,2024,17,Yucca,2024-04-21,open,NA,Bromus.rubens,1
2592,2024,18,Yucca,2024-04-21,shrub,NA,Bromus.rubens,1
2598,2024,18,Yucca,2024-04-21,open,NA,Bromus.rubens,14
2602,2024,19,Yucca,2024-04-21,shrub,NA,Bromus.rubens,2
2607,2024,19,Yucca,2024-04-21,open,NA,Bromus.rubens,19
2609,2024,20,Yucca,2024-04-21,shrub,NA,Bromus.rubens,42
2614,2024,20,Yucca,2024-04-21,open,NA,Bromus.rubens,1
2620,2024,21,Yucca,2024-04-21,shrub,NA,Bromus.rubens,10
2621,2024,21,Yucca,2024-04-21,open,NA,Bromus.rubens,1
2630,2024,22,Yucca,2024-04-21,shrub,NA,Bromus.rubens,46
2633,2024,22,Yucca,2024-04-21,open,NA,Bromus.rubens,6
2625,2024,23,Yucca,2024-04-21,shrub,NA,Bromus.rubens,24
2627,2024,23,Yucca,2024-04-21,open,NA,Bromus.rubens,3
2635,2024,24,Yucca,2024-04-21,shrub,NA,Bromus.rubens,84
2638,2024,24,Yucca,2024-04-21,open,NA,Bromus.rubens,3
2640,2024,25,Yucca,2024-04-21,shrub,NA,Bromus.rubens,96
2641,2024,25,Yucca,2024-04-21,open,NA,Bromus.rubens,12
2643,2024,26,Yucca,2024-04-21,shrub,NA,Bromus.rubens,92
2645,2024,26,Yucca,2024-04-21,open,NA,Bromus.rubens,10
2648,2024,27,Yucca,2024-04-21,shrub,NA,Bromus.rubens,98
2651,2024,27,Yucca,2024-04-21,open,NA,Bromus.rubens,5
2655,2024,28,Yucca,2024-04-21,shrub,NA,Bromus.rubens,24
2658,2024,28,Yucca,2024-04-21,open,NA,Bromus.rubens,8
2662,2024,29,Yucca,2024-04-21,shrub,NA,Bromus.rubens,74
2666,2024,29,Yucca,2024-04-21,open,NA,Bromus.rubens,11
2667,2024,30,Yucca,2024-04-21,shrub,NA,Bromus.rubens,51
2670,2024,30,Yucca,2024-04-21,open,NA,Bromus.rubens,19
2672,2024,31,Yucca,2024-04-21,shrub,NA,Bromus.rubens,57
2677,2024,31,Yucca,2024-04-21,open,NA,Bromus.rubens,2
2680,2024,32,Yucca,2024-04-21,shrub,NA,Bromus.rubens,104
2686,2024,32,Yucca,2024-04-21,open,NA,Bromus.rubens,6
2687,2024,33,Yucca,2024-04-21,shrub,NA,Bromus.rubens,12
2690,2024,34,Yucca,2024-04-21,shrub,NA,Bromus.rubens,11
2692,2024,34,Yucca,2024-04-21,open,NA,Bromus.rubens,26
2695,2024,35,Yucca,2024-04-21,shrub,NA,Bromus.rubens,15
2698,2024,35,Yucca,2024-04-21,open,NA,Bromus.rubens,1
2702,2024,36,Yucca,2024-04-21,shrub,NA,Bromus.rubens,32
2707,2024,36,Yucca,2024-04-21,open,NA,Bromus.rubens,4
2712,2024,37,Yucca,2024-04-21,shrub,NA,Bromus.rubens,56
2716,2024,37,Yucca,2024-04-21,open,NA,Bromus.rubens,28
2720,2024,38,Yucca,2024-04-21,shrub,NA,Bromus.rubens,32
2723,2024,38,Yucca,2024-04-21,open,NA,Bromus.rubens,15
2724,2024,39,Yucca,2024-04-21,shrub,NA,Bromus.rubens,42
2727,2024,39,Yucca,2024-04-21,open,NA,Bromus.rubens,4
2729,2024,40,Yucca,2024-04-21,shrub,NA,Bromus.rubens,62
2732,2024,40,Yucca,2024-04-21,open,NA,Bromus.rubens,8
435,2023,21,Cuyama 1,2023-04-28,shrub,NA,Bromus.tectorum,1
1375,2024,38,Cuyama 2,2024-04-30,open,NA,Calyptridium.monandrum,5
361,2023,9,Cuyama 1,2023-04-28,open,NA,Camissonia.campestris,1
382,2023,13,Cuyama 1,2023-04-28,open,NA,Camissonia.campestris,1
434,2023,21,Cuyama 1,2023-04-28,shrub,NA,Camissonia.campestris,1
514,2023,1,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,1
520,2023,2,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,1
535,2023,4,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,1
540,2023,5,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,1
547,2023,6,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,2
551,2023,7,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,1
556,2023,8,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,4
588,2023,13,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,10
595,2023,14,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,6
603,2023,15,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,3
634,2023,19,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,1
642,2023,20,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,1
674,2023,24,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,4
682,2023,25,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,3
686,2023,26,Cuyama 2,2023-04-28,shrub,NA,Camissonia.campestris,1
701,2023,27,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,6
710,2023,28,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,1
718,2023,29,Cuyama 2,2023-04-28,open,NA,Camissonia.campestris,1
416,2023,18,Cuyama 1,2023-04-28,open,NA,Castilleja.exserta,3
913,2024,26,Cuyama 1,2024-05-01,open,NA,Castilleja.exserta,1
946,2024,31,Cuyama 1,2024-05-01,shrub,NA,Castilleja.exserta,5
981,2024,35,Cuyama 1,2024-05-01,open,NA,Castilleja.exserta,1
994,2024,37,Cuyama 1,2024-05-01,open,NA,Castilleja.exserta,1
1137,2024,12,Cuyama 2,2024-04-30,open,NA,Castilleja.exserta,15
1115,2024,10,Cuyama 2,2024-04-30,shrub,NA,Caulanthus.lasiophyllus,2
1123,2024,11,Cuyama 2,2024-04-30,shrub,NA,Caulanthus.lasiophyllus,9
1129,2024,12,Cuyama 2,2024-04-30,shrub,NA,Caulanthus.lasiophyllus,1
1149,2024,14,Cuyama 2,2024-04-30,shrub,NA,Caulanthus.lasiophyllus,1
1191,2024,19,Cuyama 2,2024-04-30,shrub,NA,Caulanthus.lasiophyllus,3
1209,2024,21,Cuyama 2,2024-04-30,shrub,NA,Caulanthus.lasiophyllus,1
1218,2024,22,Cuyama 2,2024-04-30,shrub,NA,Caulanthus.lasiophyllus,1
1227,2024,23,Cuyama 2,2024-04-30,shrub,NA,Caulanthus.lasiophyllus,1
1235,2024,24,Cuyama 2,2024-04-30,shrub,NA,Caulanthus.lasiophyllus,1
1286,2024,29,Cuyama 2,2024-04-30,shrub,NA,Caulanthus.lasiophyllus,2
2531,2024,9,Yucca,2024-04-21,shrub,NA,Caulanthus.lasiophyllus,2
2547,2024,11,Yucca,2024-04-21,shrub,NA,Caulanthus.lasiophyllus,12
2562,2024,13,Yucca,2024-04-21,shrub,NA,Caulanthus.lasiophyllus,1
2570,2024,14,Yucca,2024-04-21,shrub,NA,Caulanthus.lasiophyllus,1
2586,2024,17,Yucca,2024-04-21,shrub,NA,Caulanthus.lasiophyllus,1
2608,2024,20,Yucca,2024-04-21,shrub,NA,Caulanthus.lasiophyllus,2
2629,2024,22,Yucca,2024-04-21,shrub,NA,Caulanthus.lasiophyllus,1
2634,2024,24,Yucca,2024-04-21,shrub,NA,Caulanthus.lasiophyllus,2
2646,2024,27,Yucca,2024-04-21,shrub,NA,Caulanthus.lasiophyllus,2
2652,2024,28,Yucca,2024-04-21,shrub,NA,Caulanthus.lasiophyllus,2
2665,2024,29,Yucca,2024-04-21,open,NA,Caulanthus.lasiophyllus,2
2684,2024,32,Yucca,2024-04-21,open,NA,Caulanthus.lasiophyllus,1
2719,2024,38,Yucca,2024-04-21,shrub,NA,Caulanthus.lasiophyllus,1
2362,2023,6,Yucca,2023-04-17,open,NA,Chaenactis.carphoclinia,1
2404,2023,13,Yucca,2023-04-17,open,NA,Chaenactis.carphoclinia,1
2426,2023,17,Yucca,2023-04-17,open,NA,Chaenactis.carphoclinia,5
2434,2023,19,Yucca,2023-04-17,open,NA,Chaenactis.carphoclinia,2
2443,2023,22,Yucca,2023-04-17,open,NA,Chaenactis.carphoclinia,1
2529,2024,8,Yucca,2024-04-21,open,NA,Chaenactis.carphoclinia,1
2534,2024,9,Yucca,2024-04-21,open,NA,Chaenactis.carphoclinia,1
2543,2024,10,Yucca,2024-04-21,open,NA,Chaenactis.carphoclinia,3
2549,2024,11,Yucca,2024-04-21,open,NA,Chaenactis.carphoclinia,2
2567,2024,13,Yucca,2024-04-21,open,NA,Chaenactis.carphoclinia,3
2585,2024,17,Yucca,2024-04-21,shrub,NA,Chaenactis.carphoclinia,1
2596,2024,18,Yucca,2024-04-21,open,NA,Chaenactis.carphoclinia,1
2601,2024,19,Yucca,2024-04-21,shrub,NA,Chaenactis.carphoclinia,1
2605,2024,19,Yucca,2024-04-21,open,NA,Chaenactis.carphoclinia,2
2613,2024,20,Yucca,2024-04-21,open,NA,Chaenactis.carphoclinia,1
2628,2024,22,Yucca,2024-04-21,shrub,NA,Chaenactis.carphoclinia,4
2632,2024,22,Yucca,2024-04-21,open,NA,Chaenactis.carphoclinia,1
2,2023,1,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,2
7,2023,2,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,1
10,2023,3,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,1
14,2023,4,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,1
18,2023,6,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,8
25,2023,7,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,1
30,2023,8,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,2
41,2023,10,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,5
45,2023,11,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,1
50,2023,12,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,2
57,2023,13,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,1
63,2023,14,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,2
68,2023,15,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,3
71,2023,16,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,1
75,2023,17,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,6
77,2023,17,Barstow,2023-04-15,open,NA,Chaenactis.fremonti,4
81,2023,18,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,2
87,2023,19,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,3
92,2023,20,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,3
97,2023,21,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,3
102,2023,22,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,1
104,2023,22,Barstow,2023-04-15,open,NA,Chaenactis.fremonti,1
107,2023,23,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,3
111,2023,24,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,2
116,2023,25,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,2
119,2023,26,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,1
123,2023,27,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,2
129,2023,28,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,5
133,2023,29,Barstow,2023-04-15,shrub,NA,Chaenactis.fremonti,1
142,2024,1,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
146,2024,2,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,4
152,2024,3,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
155,2024,4,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,2
161,2024,5,Barstow,2024-04-15,open,NA,Chaenactis.fremonti,1
167,2024,7,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,2
173,2024,8,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
176,2024,8,Barstow,2024-04-15,open,NA,Chaenactis.fremonti,1
179,2024,9,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,2
185,2024,10,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
190,2024,11,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
192,2024,11,Barstow,2024-04-15,open,NA,Chaenactis.fremonti,1
195,2024,12,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,2
203,2024,14,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,6
206,2024,15,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
215,2024,17,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
217,2024,18,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,2
229,2024,21,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
237,2024,23,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
240,2024,23,Barstow,2024-04-15,open,NA,Chaenactis.fremonti,1
243,2024,24,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,2
245,2024,24,Barstow,2024-04-15,open,NA,Chaenactis.fremonti,2
247,2024,25,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,2
257,2024,27,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,2
265,2024,29,Barstow,2024-04-15,open,NA,Chaenactis.fremonti,1
272,2024,31,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
278,2024,33,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
284,2024,35,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,2
288,2024,36,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,1
297,2024,38,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,3
302,2024,39,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,4
306,2024,40,Barstow,2024-04-15,shrub,NA,Chaenactis.fremonti,3
309,2024,40,Barstow,2024-04-15,open,NA,Chaenactis.fremonti,3
1391,2023,1,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,7
1396,2023,1,HOM,2023-04-20,open,NA,Chaenactis.fremonti,1
1399,2023,2,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,17
1400,2023,2,HOM,2023-04-20,open,NA,Chaenactis.fremonti,2
1401,2023,3,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,14
1402,2023,3,HOM,2023-04-20,open,NA,Chaenactis.fremonti,1
1404,2023,4,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,9
1406,2023,4,HOM,2023-04-20,open,NA,Chaenactis.fremonti,7
1408,2023,5,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,7
1411,2023,5,HOM,2023-04-20,open,NA,Chaenactis.fremonti,4
1412,2023,6,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,2
1416,2023,6,HOM,2023-04-20,open,NA,Chaenactis.fremonti,9
1418,2023,7,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,6
1423,2023,7,HOM,2023-04-20,open,NA,Chaenactis.fremonti,1
1425,2023,8,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,3
1429,2023,9,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,10
1432,2023,9,HOM,2023-04-20,open,NA,Chaenactis.fremonti,1
1434,2023,10,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,3
1439,2023,11,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,1
1444,2023,12,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,22
1446,2023,12,HOM,2023-04-20,open,NA,Chaenactis.fremonti,11
1450,2023,13,HOM,2023-04-20,open,NA,Chaenactis.fremonti,2
1453,2023,14,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,5
1456,2023,14,HOM,2023-04-20,open,NA,Chaenactis.fremonti,1
1458,2023,15,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,1
1463,2023,15,HOM,2023-04-20,open,NA,Chaenactis.fremonti,1
1464,2023,16,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,2
1470,2023,17,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,10
1474,2023,17,HOM,2023-04-20,open,NA,Chaenactis.fremonti,1
1476,2023,18,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,1
1481,2023,19,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,17
1486,2023,19,HOM,2023-04-20,open,NA,Chaenactis.fremonti,3
1487,2023,20,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,8
1490,2023,20,HOM,2023-04-20,open,NA,Chaenactis.fremonti,2
1493,2023,21,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,2
1501,2023,22,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,8
1504,2023,22,HOM,2023-04-20,open,NA,Chaenactis.fremonti,1
1506,2023,23,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,2
1510,2023,24,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,1
1516,2023,25,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,2
1521,2023,27,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,4
1522,2023,28,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,6
1523,2023,29,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,10
1527,2023,30,HOM,2023-04-20,shrub,NA,Chaenactis.fremonti,1
1540,2024,3,HOM,2024-04-25,shrub,NA,Chaenactis.fremonti,2
1546,2024,4,HOM,2024-04-25,shrub,NA,Chaenactis.fremonti,1
1548,2024,4,HOM,2024-04-25,open,NA,Chaenactis.fremonti,1
1550,2024,5,HOM,2024-04-25,shrub,NA,Chaenactis.fremonti,3
1557,2024,8,HOM,2024-04-25,shrub,NA,Chaenactis.fremonti,1
1564,2024,9,HOM,2024-04-25,open,NA,Chaenactis.fremonti,1
1581,2024,13,HOM,2024-04-25,open,NA,Chaenactis.fremonti,2
1590,2024,15,HOM,2024-04-25,shrub,NA,Chaenactis.fremonti,1
1607,2024,18,HOM,2024-04-25,shrub,NA,Chaenactis.fremonti,1
1619,2024,20,HOM,2024-04-25,open,NA,Chaenactis.fremonti,1
1624,2024,21,HOM,2024-04-25,open,NA,Chaenactis.fremonti,1
1636,2024,25,HOM,2024-04-25,open,NA,Chaenactis.fremonti,1
1644,2024,27,HOM,2024-04-25,shrub,NA,Chaenactis.fremonti,1
1655,2024,28,HOM,2024-04-25,shrub,NA,Chaenactis.fremonti,4
1661,2024,30,HOM,2024-04-25,open,NA,Chaenactis.fremonti,1
1678,2024,32,HOM,2024-04-25,shrub,NA,Chaenactis.fremonti,1
1682,2024,33,HOM,2024-04-25,shrub,NA,Chaenactis.fremonti,1
1716,2024,39,HOM,2024-04-25,open,NA,Chaenactis.fremonti,3
1730,2024,1,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,1
1741,2024,3,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,2
1747,2024,4,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,1
1750,2024,4,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,2
1758,2024,5,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,1
1760,2024,6,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,10
1768,2024,6,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,2
1769,2024,7,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,2
1776,2024,7,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,1
1777,2024,8,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,5
1783,2024,10,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,4
1791,2024,11,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,3
1795,2024,12,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,3
1813,2024,14,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,6
1817,2024,14,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,2
1819,2024,15,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,12
1823,2024,15,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,2
1826,2024,16,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,5
1833,2024,17,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,5
1836,2024,17,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,3
1837,2024,18,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,3
1851,2024,19,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,1
1860,2024,21,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,2
1872,2024,24,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,1
1885,2024,27,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,1
1889,2024,28,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,3
1890,2024,28,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,1
1891,2024,29,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,1
1897,2024,29,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,2
1901,2024,30,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,1
1904,2024,30,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,1
1907,2024,31,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,1
1914,2024,31,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,1
1918,2024,32,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,25
1923,2024,32,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,3
1925,2024,33,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,4
1930,2024,34,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,1
1941,2024,35,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,1
1944,2024,36,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,2
1952,2024,38,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,2
1955,2024,38,Sheephole,2024-04-20,open,NA,Chaenactis.fremonti,1
1959,2024,40,Sheephole,2024-04-20,shrub,NA,Chaenactis.fremonti,2
2187,2024,6,Tecopa,2024-04-16,shrub,,Chaenactis.fremonti,1
2252,2024,17,Tecopa,2024-04-16,shrub,,Chaenactis.fremonti,1
1262,2024,26,Cuyama 2,2024-04-30,open,NA,Lastarriaea.coriacea,2
1414,2023,6,HOM,2023-04-20,open,NA,Chorizanthe.brevicornu,1
1420,2023,7,HOM,2023-04-20,open,NA,Chorizanthe.brevicornu,1
1575,2024,12,HOM,2024-04-25,shrub,NA,Chorizanthe.brevicornu,2
1841,2024,18,Sheephole,2024-04-20,open,NA,Chorizanthe.brevicornu,1
1921,2024,32,Sheephole,2024-04-20,open,NA,Chorizanthe.brevicornu,1
1946,2024,36,Sheephole,2024-04-20,open,NA,Chorizanthe.brevicornu,1
1965,2023,1,Tecopa,2023-04-11,shrub,,Chorizanthe.brevicornu,1
2506,2024,5,Yucca,2024-04-21,shrub,NA,Chorizanthe.brevicornu,1
2617,2024,21,Yucca,2024-04-21,shrub,NA,Chorizanthe.brevicornu,1
